,Country,global_population,Available_quantity_per_capita ,Domestic_availability,propensity_to_import,Avg duties,GDP_per_capita,currency volatility,poultry_share_in_meat_consumption,share_of_urban_pop,logistic score,nb days to start a business,food_price_volatility,Influenza
53,Grenada,111.454,45.7,8.0,0.875,20.0,15065.9,0.0,0.5283847843681351,36.396,2.4575,12.0,0.4334642805649843,0
54,Greece,10522.246000000001,15.32,178.0,0.4438202247191011,0.0,27287.1,0.02,0.1681114890815319,79.388,3.2,4.0,0.6790869101338578,0
55,Guatemala,17247.849,20.58,357.0,0.36134453781512604,13.571428571428571,8393.3,0.14,0.5280985373364127,51.43899999999999,2.41,15.0,5.4833405971187,0
56,Guinea,12414.293,4.08,50.0,0.74,35.0,2670.8,712.24,0.1763180639585134,36.5,2.2,15.0,6.559331267509126,0
57,Guinea-Bissau,1874.3029999999999,2.16,4.0,1.0,35.0,1847.5,13.8,0.11619150080688544,43.777,2.39,8.5,1.1042189806782396,0
58,Guyana,779.0060000000001,38.34,32.0,0.0,50.0,18680.0,0.99,0.5064729194187583,26.689,2.36,18.0,1.8425283427452905,0
59,Georgia,4002.942,15.27,61.0,0.8360655737704918,12.0,14089.3,0.31,0.38299473288186603,59.038999999999994,2.44,1.0,3.350788556844218,0
60,Haiti,11123.178,8.91,98.0,0.9081632653061225,25.0,2773.1,16.71,0.40243902439024387,56.192,2.11,97.0,15.590204737243193,1
61,Honduras,9587.521999999999,21.73,205.0,0.05853658536585366,73.0,5138.4,1.02,0.5996136865342163,57.73,2.6,42.0,1.9225933516642735,0
62,Hungary,9707.499,25.27,266.0,0.21804511278195488,39.0,31007.8,13.64,0.2937688909555917,71.64399999999999,3.42,7.0,1.605039192644294,0
63,India,1352642.28,2.22,3661.0,0.0,100.0,6118.4,3.65,0.20786516853932588,34.472,3.18,17.5,4.240932186750827,1
64,Indonesia,267670.543,7.19,2323.0,0.00043047783039173483,8.0,11445.0,547.65,0.12757274662881476,55.985,3.15,12.6,0.9545934168643707,0
65,Iran,81800.188,27.52,2220.0,0.002702702702702703,55.0,12433.3,5956.09,0.5768182770907567,74.898,2.85,72.5,47.2779149724267,1
66,Iraq,38433.6,14.95,566.0,0.8303886925795053,10.0,9255.3,7.99,0.6665180561747659,70.678,2.18,26.5,1.9903452758258018,1
67,Ireland,4818.69,25.82,128.0,0.7734375,0.0,89689.0,0.02,0.2528893241919687,63.405,3.51,11.0,0.5681791365959171,1
68,Iceland,336.713,29.95,10.0,0.2,30.0,52279.7,11.76,0.16481399955976228,93.855,3.23,11.5,2.6553094353007096,1
69,Israel,8381.516,67.39,636.0,0.0,102.0,38341.3,0.17,0.5482427595183859,92.501,3.31,11.0,0.8596331890387726,0
70,Italy,60627.291,18.88,1173.0,0.08269394714407502,0.0,38992.1,0.02,0.17047404063205418,70.736,3.74,11.0,0.8284249385357015,1
71,Jamaica,2934.847,51.1,152.0,0.20394736842105263,56.0,8741.6,8.5,0.6056655209197582,55.985,2.52,3.0,4.85520620709439,0
72,Japan,127202.192,18.5,2415.0,0.4426501035196687,7.8,40111.0,5.07,0.1951065176123181,91.698,4.03,11.1,1.2219611482689574,0
